"word","phonetic","definition"
"あの","あの","that over there; like that, that way; um...｜中文：那个（连体远指）｜例句：あの木は大きい。"
"浴びる","あびる","to bathe, to shower｜中文：沐浴、淋浴｜例句：毎晩お風呂を浴びます。"
"危ない","あぶない","dangerous, critical｜中文：危险的｜例句：ここは危ないので近づかないで。"
"甘い","あまい","generous, sweet｜中文：甜、宽松｜例句：この果物は甘い。"
"余り","あまり","not very; surplus｜中文：不太（接否定）、剩余｜例句：あまり肉を食べません。"
"雨","あめ","rain｜中文：雨｜例句：雨が降っています。"
"飴","あめ","(hard) candy｜中文：糖果｜例句：飴を子供にあげます。"
"洗う","あらう","to wash｜中文：清洗｜例句：服を洗います。"
"在る","ある","to be, to have｜中文：存在（无生命）｜例句：机に本が在る。"
"有る","ある","to be, to have｜中文：有（无生命）｜例句：冷蔵庫に牛乳が有る。"
"歩く","あるく","to walk｜中文：步行｜例句：毎朝公園を歩きます。"
"あれ","あれ","that one (over there)｜中文：那个（远指代词）｜例句：あれは山です。"
"いい; よい","いい; よい","good｜中文：好的｜例句：このカフェはいいです。"
"いいえ","いいえ","no, not at all｜中文：不、不是｜例句：いいえ、私は先生ではありません。"
"言う","いう","to say｜中文：说、讲｜例句：日本語で言います。"
"家","いえ","house, home｜中文：房子｜例句：私の家は小さい。"
"いかが","いかが","how, in what way｜中文：如何、怎么样｜例句：コーヒーはいかがですか。"
"行く","いく; ゆく","to go｜中文：去｜例句：学校へ行きます。"
"いくつ","いくつ","how many, how old｜中文：几个、几岁｜例句：りんごはいくつ買いますか。"
"いくら","いくら","how much, how many｜中文：多少钱｜例句：この鞄はいくらですか。"
"池","いけ","pond｜中文：池塘｜例句：公園に池がある。"
"医者","いしゃ","doctor; physician｜中文：医生｜例句：体調が悪いので医者に行く。"
"椅子","いす","chair｜中文：椅子｜例句：椅子に座ってください。"
"忙しい","いそがしい","busy (people, days)｜中文：忙碌的｜例句：毎日仕事で忙しい。"
"痛い","いたい","hurt; painful; sore｜中文：疼、痛｜例句：歯が痛いです。"
"一","いち","one｜中文：一｜例句：一冊の本を買いました。"
"一日","いちにち","one day (duration)｜中文：一整天｜例句：一日図書館で勉強した。"
"一番","いちばん","best (most), first, number one｜中文：第一、最｜例句：この店のケーキが一番美味しい。"
"いつ","いつ","when｜中文：什么时候｜例句：いつ日本へ行きますか。"
"五日","いつか","five days; fifth day of the month｜中文：五天、五号｜例句：五日に友達が来る。"
"一緒","いっしょ","together｜中文：一起｜例句：一緒に映画を見ましょう。"
"五つ","いつつ","five things｜中文：五个（物品）｜例句：りんごを五つください。"
"いつも","いつも","always, usually, every time, never (with neg. verb)｜中文：总是、平常｜例句：いつも七時に起きる。"
"犬","いぬ","dog｜中文：狗｜例句：庭に犬がいます。"
"今","いま","now｜中文：现在｜例句：今ご飯を食べています。"
"意味","いみ","meaning, significance｜中文：意思、含义｜例句：この言葉の意味は何ですか。"
"妹","いもうと","younger sister (humble)｜中文：（自谦）我妹妹｜例句：妹は小学生です。"
"嫌","いや","disagreeable, detestable, unpleasant｜中文：讨厌、不要｜例句：いや、そんなことしたくない。"
"入口","いりぐち","entrance｜中文：入口｜例句：建物の入口はこちらです。"
"居る","いる","(humble) to be (animate), to exist｜中文：（人/动物）在、有｜例句：部屋に子供が居る。"
"要る","いる","to need｜中文：需要｜例句：ペンが要りますか。"
"入れる","いれる","to put in｜中文：放入｜例句：本をカバンに入れる。"
"色","いろ","color｜中文：颜色｜例句：好きな色は何ですか。"
"色々","いろいろ","various｜中文：各种各样｜例句：色々な果物を買いました。"
"上","うえ","above (up, top, etc.), over, on top of｜中文：上面｜例句：机の上にノートがある。"
"後ろ","うしろ","back, behind, rear｜中文：后面｜例句：私の後ろに母が立っている。"
"薄い","うすい","thin, weak｜中文：薄、淡｜例句：薄い紙です。"
"歌","うた","a song｜中文：歌曲｜例句：好きな歌を歌います。"
"歌う","うたう","to sing｜中文：唱歌｜例句：カラオケで歌う。"
"うち","うち","home; house; my place｜中文：我家｜例句：うちで晩御飯を食べる。"
"生まれる","うまれる","to be born｜中文：出生｜例句：私は春に生まれました。"
"海","うみ","sea, beach｜中文：大海｜例句：夏に海へ行きたい。"
"売る","うる","to sell (v.t.)｜中文：售卖｜例句：野菜を売っています。"
"うるさい","うるさい","noisy; annoying｜中文：吵闹、烦人｜例句：隣の部屋がうるさい。"
"上着","うわぎ","coat, jacket｜中文：外套｜例句：寒いので上着を着る。"
"絵","え","a painting; a picture; a drawing｜中文：画、图画｜例句：きれいな絵を描いた。"
"映画","えいが","movie, film｜中文：电影｜例句：週末映画を見に行く。"
"映画館","えいがかん","movie theater, cinema｜中文：电影院｜例句：駅の近くに映画館がある。"
"英語","えいご","English (language)｜中文：英语｜例句：少し英語が話せます。"
"ええ","ええ","yes｜中文：嗯、是的｜例句：ええ、大丈夫です。"
"駅","えき","station｜中文：车站｜例句：電車の駅はどこですか。"
"エレベーター","エレベーター","elevator｜中文：电梯｜例句：エレベーターで三階へ行く。"
"～円","～えん","Yen｜中文：日元｜例句：これは五百円です。"
"鉛筆","えんぴつ","pencil｜中文：铅笔｜例句：鉛筆で名前を書く。"
"お～","お～","honorable ~ (honorific)｜中文：敬语前缀｜例句：お水をください。"
"美味しい","おいしい","delicious, tasty｜中文：好吃的｜例句：このラーメンは美味しい。"
"多い","おおい","many; there are a lot｜中文：多的｜例句：公園に人が多い。"
"大きい","おおきい","big, large｜中文：大的｜例句：大きい犬がいます。"
"大きな","おおきな","big｜中文：大的（连体）｜例句：大きな木の下に座る。"
"大勢","おおぜい","great number of people｜中文：大批（人）｜例句：大勢の観客が来た。"
"お母さん","おかあさん","mother (formal)｜中文：妈妈（敬称）｜例句：お母さんは料理が上手。"
"お菓子","おかし","confections, sweets, snack｜中文：点心、零食｜例句：お菓子を友達にあげる。"
"お金","おかね","money｜中文：钱｜例句：お金が足りません。"
"起きる","おきる","to get up (e.g., from sleeping); to happen｜中文：起床、发生｜例句：朝七時に起きる。"
"置く","おく","to put; to lay; to place｜中文：放置｜例句：鞄を椅子に置く。"
"奥さん","おくさん","(someone else's) wife (hon.)｜中文：别人的夫人｜例句：隣の奥さんは優しい。"
"お酒","おさけ","sake; alcohol｜中文：酒｜例句：晩ご飯の後お酒を飲む。"
"お皿","おさら","plate, dish｜中文：盘子｜例句：お皿にりんごを載せる。"
"伯父; 叔父さん","おじさん","uncle, middle-aged man｜中文：叔叔、伯父｜例句：おじさんは車を持っている。"
"おじいさん","おじいさん","grandfather, male senior citizen｜中文：爷爷、老爷爷｜例句：おじいさんは毎日散歩する。"
"教える","おしえる","to teach, to inform, to instruct｜中文：教、告知｜例句：日本語を教えてください。"
"押す","おす","to push, to press, to stamp (e.g., a passport)｜中文：推、按｜例句：ドアのボタンを押す。"
"遅い","おそい","slow; (to be) late｜中文：慢、迟到｜例句：バスが遅くなりました。"
"お茶","おちゃ","(green) tea｜中文：茶｜例句：お茶を一杯ください。"
"お手洗い","おてあらい","toilet, restroom, bathroom (lit., a place to wash one's hands)｜中文：洗手间｜例句：お手洗いはどちらですか。"
"お父さん","おとうさん","father (formal)｜中文：爸爸（敬称）｜例句：お父さんは毎日働く。"
"弟","おとうと","younger brother｜中文：弟弟｜例句：弟は中学一年生。"
"男","おとこ","man, male｜中文：男人、男性｜例句：あの男は先生です。"
"男の子","おとこのこ","boy｜中文：小男孩｜例句：公園に男の子が遊んでいる。"
"一昨日","おととい","the day before yesterday｜中文：前天｜例句：一昨日デパートへ行った。"
"おととし","おととし","year before last｜中文：前年｜例句：おととし日本へ行きました。"
"大人","おとな","adult｜中文：大人｜例句：大人は入場料が高い。"
"お腹","おなか","stomach｜中文：肚子｜例句：お腹が空いた。"
"同じ","おなじ","same, identical｜中文：相同的｜例句：私たちは同じクラスです。"
"お兄さん","おにいさん","(someone else's) older brother (formal)｜中文：别人的哥哥｜例句：隣のお兄さんは親切。"
"お姉さん","おねえさん","older sister (formal)｜中文：别人的姐姐｜例句：お姉さんは歌が上手。"
"伯母さん; 叔母さん","おばさん","aunt｜中文：阿姨、伯母｜例句：おばさんがケーキを持ってきた。"
"おばあさん","おばあさん","grandmother, female senior-citizen｜中文：奶奶、老奶奶｜例句：おばあさんは花を育てている。"
"お風呂","おふろ","a bath｜中文：泡澡、浴室｜例句：夜お風呂に入る。"
"お弁当","おべんとう","a boxed lunch｜中文：便当｜例句：遠足にお弁当を持っていく。"
"覚える","おぼえる","to learn, to commit to memory, to remember, to memorize｜中文：记住、背诵｜例句：単語を覚える。"
"おまわりさん","おまわりさん","policeman (friendly term)｜中文：警察（亲切叫法）｜例句：道を聞くためおまわりさんに話す。"
"重い","おもい","heavy; serious｜中文：重、沉重｜例句：この鞄はとても重い。"
"面白い","おもしろい","interesting, amusing｜中文：有趣、好玩｜例句：この本は面白いです。"
"泳ぐ","およぐ","to swim｜中文：游泳｜例句：夏にプールで泳ぐ。"
"降りる","おりる","to get off｜中文：下车、下来｜例句：次の駅で降ります。"
"終る","おわる","to finish, to close｜中文：结束、完结｜例句：授業は五時に終わる。"
"音楽","おんがく","Music｜中文：音乐｜例句：音楽を聴きながら勉強する。"
"女","おんな","woman, female｜中文：女人、女性｜例句：あの女は看護師です。"
"女の子","おんなのこ","girl｜中文：小女孩｜例句：女の子が花を持っている。"
"～回","～かい","counter for occurrences (~ times)｜中文：～次｜例句：一日三回薬を飲む。"
"～階","～かい","counter for stories (floors) of a building｜中文：～楼｜例句：三階に教室がある。"
"外国","がいこく","foreign country; abroad｜中文：外国｜例句：外国の食べ物を食べたい。"
"外国人","がいこくじん","foreigner｜中文：外国人｜例句：公園に外国人が多い。"
"会社","かいしゃ","company, corporation｜中文：公司｜例句：父は会社員です。"
"階段","かいだん","stairs｜中文：楼梯｜例句：階段を上って二階へ行く。"
"買い物","かいもの","shopping｜中文：购物｜例句：週末に買い物に行く。"
"買う","かう","to buy｜中文：购买｜例句：果物を買います。"
"返す","かえす","to return something｜中文：归还｜例句：本を図書館に返す。"
"帰る","かえる","to go back, to go home, to return｜中文：回家、返回｜例句：夕方六時に家に帰る。"
"顔","かお","face (body part)｜中文：脸｜例句：顔が赤いです。"
"かかる","かかる","it takes (amount of time, money) (v.i.)｜中文：花费（时间/金钱）｜例句：ここまで一時間かかる。"
"鍵","かぎ","a lock; a key｜中文：钥匙、锁｜例句：家の鍵を忘れた。"
"書く","かく","to write｜中文：书写｜例句：ノートに字を書く。"
"学生","がくせい","student｜中文：大学生｜例句：私は大学の学生です。"
"～か月","～かげつ","(number of) months｜中文：～个月｜例句：三か月日本に住んだ。"
"掛ける","かける","to put on (e.g., glasses); to hang (e.g., on a wall)｜中文：佩戴、悬挂｜例句：眼鏡を掛ける。"
"かける","かける","to dial/call (e.g., phone); to sit down｜中文：打电话、坐下｜例句：友達に電話をかける。"
"傘","かさ","umbrella, parasol｜中文：雨伞｜例句：雨なので傘を持っていく。"
"貸す","かす","to lend｜中文：借出｜例句：ペンを友達に貸す。"
"風","かぜ","wind, breeze｜中文：风｜例句：風が強いです。"
"風邪","かぜ","cold, flu｜中文：感冒｜例句：風邪をひいたので休む。"
"方","かた","-- honorific form for 人 (ひと) --; way of doing｜中文：位、方式｜例句：あちらの方は先生です。"
"家族","かぞく","family, members of a family｜中文：家人、家族｜例句：家族と旅行に行きます。"
"片仮名","かたかな","katakana｜中文：片假名｜例句：外来語は片仮名で書く。"
"～月","～がつ","month of year｜中文：～月｜例句：五月に休暇がある。"
"学校","がっこう","a school｜中文：学校｜例句：毎朝八時に学校へ行く。"
"カップ","カップ","cup｜中文：杯子｜例句：コーヒーカップを買った。"
"家庭","かてい","home; family｜中文：家庭｜例句：家庭で料理を作る。"
"角","かど","corner (e.g., desk, pavement)｜中文：角落、拐角｜例句：道の角に店がある。"
"かばん","かばん","bag, basket｜中文：包｜例句：鞄の中に本が入っている。"
"花瓶","かびん","(flower) vase｜中文：花瓶｜例句：花瓶に花を挿す。"
"かぶる","かぶる","to wear, to put on (e.g., a hat on the head)｜中文：戴（帽子）｜例句：夏に帽子をかぶる。"
"紙","かみ","paper｜中文：纸｜例句：紙に絵を描く。"
"カメラ","カメラ","camera｜中文：相机｜例句：旅行にカメラを持っていく。"
"火曜日","かようび","Tuesday｜中文：周二｜例句：火曜日に日本語の授業がある。"
"辛い","からい","hot and spicy; salty｜中文：辣、咸｜例句：このカレーは辛い。"
"体","からだ","body; health｜中文：身体｜例句：体に気をつけてください。"
"借りる","かりる","to borrow, to owe｜中文：借入｜例句：図書館から本を借りる。"
"～がる","～がる","feel｜中文：（第三人称）想要、感到｜例句：子供は遊びたがる。"
"軽い","かるい","light, non-serious, minor｜中文：轻、轻微｜例句：この鞄は軽い。"
"カレー","カレー","curry (abbr. for curry and rice)｜中文：咖喱饭｜例句：昼ご飯にカレーを食べる。"
"カレンダー","カレンダー","calendar｜中文：日历｜例句：カレンダーに予定を書く。"
"川; 河","かわ","river｜中文：河流｜例句：川の近くに公園がある。"
"～側","～がわ","~ side｜中文：～一侧｜例句：道の右側を歩く。"
"可愛い","かわいい","cute, adorable｜中文：可爱｜例句：この猫は可愛い。"
"漢字","かんじ","kanji; Chinese character｜中文：汉字｜例句：漢字の練習をする。"
"木","き","tree, wood, timber｜中文：树木、木头｜例句：公園に大きな木がある。"
"黄色","きいろ","yellow｜中文：黄色｜例句：黄色いバナナが甘い。"
"黄色い","きいろい","yellow｜中文：黄色的｜例句：太陽は黄色い。"
"消える","きえる","to vanish, to disappear｜中文：消失、熄灭｜例句：電気が消えた。"
"聞く","きく","to hear, to listen, to ask｜中文：听、询问｜例句：音楽を聞く。"
"北","きた","north｜中文：北｜例句：北へ行くと山がある。"
"ギター","ギター","guitar｜中文：吉他｜例句：ギターを弾くのが好き。"
"汚い","きたない","dirty, unclean, filthy｜中文：脏的｜例句：部屋が汚いので掃除する。"
"喫茶店","きっさてん","café｜中文：咖啡店｜例句：休日喫茶店で本を読む。"
"切手","きって","postal (postage) stamps｜中文：邮票｜例句：切手を買って手紙を出す。"
"切符","きっぷ","a ticket｜中文：车票、票｜例句：電車の切符を買う。"
"昨日","きのう","yesterday｜中文：昨天｜例句：昨日雨が降っていた。"
"九","きゅう","nine｜中文：九｜例句：九人のクラスメイトがいる。"
"牛肉","ぎゅうにく","beef｜中文：牛肉｜例句：牛肉のすき焼きを食べる。"
"牛乳","ぎゅうにゅう","milk｜中文：牛奶｜例句：毎朝牛乳を飲む。"
"今日","きょう","today, this day｜中文：今天｜例句：今日は日曜日です。"
"教室","きょうしつ","classroom｜中文：教室｜例句：教室で日本語を勉強する。"
"兄弟","きょうだい","siblings (humble), brothers and sisters｜中文：兄弟姐妹（自谦）｜例句：私には三人の兄弟がいる。"
"去年","きょねん","last year｜中文：去年｜例句：去年アメリカへ行った。"
"嫌い","きらい","dislike｜中文：讨厌｜例句：私は虫が嫌いです。"
"切る","きる","to cut; to hang up (a phone)｜中文：切割、挂断｜例句：ナイフでりんごを切る。"
"着る","きる","to put on (clothes above your waist); to wear｜中文：穿（上衣）｜例句：シャツを着る。"
"綺麗","きれい","pretty, clean, tidy｜中文：漂亮、干净｜例句：部屋を綺麗に掃除した。"
"キロ; キログラム","キロ; キログラム","(abbr.) kilo (kilogram)｜中文：千克｜例句：二キロの肉を買う。"
"キロ; キロメートル","キロ; キロメートル","(abbr.) kilo (kilometer)｜中文：千米｜例句：五キロ歩いた。"
"銀行","ぎんこう","bank｜中文：银行｜例句：銀行でお金を下ろす。"
"金曜日","きんようび","Friday｜中文：周五｜例句：金曜日に友達と遊ぶ。"
"九","く","nine｜中文：九｜例句：九時に授業が始まる。"
"薬","くすり","medicine｜中文：药｜例句：頭痛なので薬を飲む。"
"下さい","ください","(with te-form verb) please do for me｜中文：请给我、请做｜例句：水をください。"
"果物","くだもの","fruit｜中文：水果｜例句：毎日果物を食べる。"
"口","くち","mouth｜中文：嘴巴｜例句：口が乾いた。"
"靴","くつ","shoes, footwear｜中文：鞋子｜例句：新しい靴を買った。"
"靴下","くつした","socks｜中文：袜子｜例句：白い靴下を履く。"
"国","くに","country; place of origin｜中文：国家｜例句：私の国は中国です。"
"曇り","くもり","cloudiness, cloudy weather｜中文：阴天｜例句：今日は曇りです。"
"曇る","くもる","to become cloudy, to become dim｜中文：转阴、变暗｜例句：空が曇ってきた。"
"暗い","くらい","dark, gloomy｜中文：昏暗、阴沉｜例句：夜の道は暗い。"
"～くらい; ぐらい","～くらい; ぐらい","approximate (quantity)｜中文：大约、左右｜例句：一時間ぐらい待つ。"
"クラス","クラス","a class｜中文：班级｜例句：私のクラスは二十人。"
"グラム","グラム","gram｜中文：克｜例句：百グラムのチーズ。"
"来る","くる","to come｜中文：来｜例句：友達が家に来ます。"
"車","くるま","car, vehicle｜中文：汽车｜例句：車で駅まで行く。"
"黒","くろ","black｜中文：黑色｜例句：黒い鞄を持っている。"
"黒い","くろい","black; dark｜中文：黑色的｜例句：黒い服を着ている。"
"警官","けいかん","police officer｜中文：警察｜例句：道を聞くため警官に話す。"
"今朝","けさ","this morning｜中文：今早｜例句：今朝パンを食べた。"
"消す","けす","to erase, to delete, to turn off power｜中文：关掉、擦掉｜例句：電気を消してください。"
"結構","けっこう","splendid; enough, tolerably｜中文：不错、够了｜例句：結構美味しいです。"
"結婚","けっこん (する)","marriage (get married)｜中文：结婚｜例句：来年結婚します。"
"月曜日","げつようび","Monday｜中文：周一｜例句：月曜日は早く起きる。"
"玄関","げんかん","entrance (to a house or a building)｜中文：玄关｜例句：玄関で靴を脱ぐ。"
"元気","げんき","health(y), energetic｜中文：精神、健康｜例句：元気ですか。"
"～個","～こ","counter for small items (e.g., fruits, cups)｜中文：个（小件物品）｜例句：りんごを三個ください。"
"五","ご","five｜中文：五｜例句：五円の切手。"
"～語","～ご","word, language｜中文：语言｜例句：日本語を勉強する。"
"公園","こうえん","a park｜中文：公园｜例句：休日公園へ散歩に行く。"
"交差点","こうさてん","intersection｜中文：十字路口｜例句：交差点で待ち合わせる。"
"紅茶","こうちゃ","black tea｜中文：红茶｜例句：朝紅茶を飲む。"
"交番","こうばん","police box｜中文：派出所｜例句：近くの交番に行く。"
"声","こえ","voice｜中文：声音｜例句：声が大きいです。"
"コート","コート","coat; court (e.g., tennis)｜中文：大衣、球场｜例句：寒いのでコートを着る。"
"コーヒー","コーヒー","coffee｜中文：咖啡｜例句：朝コーヒーを一杯飲む。"
"ここ","ここ","here, this place｜中文：这里｜例句：ここは私の部屋です。"
"午後","ごご","afternoon, P.M.｜中文：下午｜例句：午後二時に授業がある。"
"九日","ここのか","nine days; ninth day of the month｜中文：九天、九号｜例句：九日に遠足がある。"
"九つ","ここのつ","nine things｜中文：九个｜例句：みかんを九つ買う。"
"午前","ごぜん","morning, A.M.｜中文：上午｜例句：午前中図書館にいる。"
"答える","こたえる","to answer, to reply｜中文：回答｜例句：質問に答える。"
"こちら","こちら","this person (polite); this way (polite)｜中文：这边、这位（礼貌）｜例句：こちらへどうぞ。"
"こっち","こっち","this person; this direction; this side｜中文：这边（口语）｜例句：こっちに来て。"
"コップ","コップ","a tumbler; a glass｜中文：玻璃杯｜例句：コップに水を入れる。"
"今年","ことし","this year｜中文：今年｜例句：今年夏海へ行きたい。"
"言葉","ことば","language; word(s); expression(s)｜中文：话语、词语｜例句：難しい言葉が分からない。"
"子供","こども","child(ren)｜中文：孩子｜例句：公園に子供がたくさんいる。"
"この","この","this｜中文：这个（连体近指）｜例句：この本は面白い。"
"御飯","ごはん","rice (cooked); meal｜中文：米饭、饭｜例句：晩御飯を食べました。"
"コピーする","コピーする","to copy｜中文：复印｜例句：ノートをコピーする。"
"困る","こまる","to be bothered, to have difficulty｜中文：为难、困扰｜例句：お金がなくて困る。"
"これ","これ","this one｜中文：这个（代词）｜例句：これは私のペンです。"
"～ころ; ～ごろ","～ころ; ～ごろ","about, toward, approximately (time)｜中文：大概（时间）｜例句：三時ごろ来る。"
"今月","こんげつ","this month｜中文：本月｜例句：今月旅行に行く。"
"今週","こんしゅう","this week｜中文：本周｜例句：今週末映画を見る。"
"こんな","こんな","such, like this｜中文：这样的｜例句：こんな可愛い猫が好き。"
"今晩","こんばん","tonight, this evening｜中文：今晚｜例句：今晩家で休む。"
"さあ","さあ","come now, well｜中文：来吧、那么｜例句：さあ、始めましょう。"
"～歳","～さい","~ years old｜中文：～岁｜例句：二十歳です。"
"財布","さいふ","wallet｜中文：钱包｜例句：財布を忘れた。"
"魚","さかな","fish｜中文：鱼｜例句：晩ご飯に魚を食べる。"
"先","さき","future; recent, previous｜中文：之前、前方｜例句：先に行って待って。"
"咲く","さく","to bloom｜中文：开花｜例句：春に桜が咲く。"
"作文","さくぶん","essay; composition｜中文：作文｜例句：日本語の作文を書く。"
"差す","さす","to raise (stretch out) hands, to raise (e.g., umbrella)｜中文：撑（伞）、举｜例句：雨なので傘を差す。"
"～冊","～さつ","counter for books｜中文：册（书本）｜例句：本を二冊買う。"
"雑誌","ざっし","magazine, journal｜中文：杂志｜例句：毎月雑誌を買う。"
"砂糖","さとう","sugar｜中文：砂糖｜例句：コーヒーに砂糖を入れる。"
"寒い","さむい","cold (in reference to weather)｜中文：寒冷（天气）｜例句：冬は寒いです。"
"さ来年","さらいねん","year after next｜中文：后年｜例句：さ来年留学する。"
"～さん","～さん","Mr. ~, Ms. ~｜中文：先生/小姐（敬称）｜例句：田中さんは先生です。"
"三","さん","three｜中文：三｜例句：三つの鞄がある。"
"散歩","さんぽ (する)","walk, stroll｜中文：散步｜例句：朝散歩する習慣がある。"
"四","し","four｜中文：四｜例句：四人で食事に行く。"
"～時","～じ","~ o'clock (time)｜中文：～点｜例句：七時に起きる。"
"塩","しお","salt｜中文：盐｜例句：料理に塩を少し入れる。"
"しかし","しかし","however; but｜中文：但是｜例句：高い、しかし美味しい。"
"時間","じかん","time｜中文：时间、小时｜例句：時間がないです。"
"～時間","～じかん","~ hours｜中文：～小时｜例句：二時間勉強した。"
"仕事","しごと","work, job, occupation, employment｜中文：工作｜例句：毎日仕事に行く。"
"辞書","じしょ","dictionary｜中文：词典｜例句：分からない単語を辞書で調べる。"
"静か","しずか","quiet, calm｜中文：安静｜例句：図書館は静かです。"
"下","した","under, below, beneath｜中文：下面｜例句：机の下に猫がいる。"
"七","しち","seven｜中文：七｜例句：七人の友達がいる。"
"質問","しつもん","question, inquiry｜中文：提问、问题｜例句：先生に質問する。"
"自転車","じてんしゃ","bicycle｜中文：自行车｜例句：自転車で学校へ行く。"
"自動車","じどうしゃ","automobile｜中文：汽车｜例句：父は自動車を持っている。"
"死ぬ","しぬ","to die｜中文：死亡｜例句：昔の犬は死んだ。"
"字引","じびき","dictionary｜中文：字典｜例句：字引を使って単語を調べる。"
"自分","じぶん","myself, oneself｜中文：自己｜例句：自分の鞄です。"
"閉まる","しまる","to close, to be closed｜中文：（自动）关闭｜例句：店は九時に閉まる。"
"閉める","しめる","to close, to shut｜中文：（他动）关上｜例句：窓を閉めてください。"
"締める","しめる","to tie, to fasten, to tighten｜中文：系紧、拧紧｜例句：靴ひもを締める。"
"じゃ; じゃあ","じゃ; じゃあ","well, well then｜中文：那么｜例句：じゃ、また明日。"
"写真","しゃしん","a picture; a photograph｜中文：照片｜例句：旅行で写真を撮る。"
"シャツ","シャツ","shirt｜中文：衬衫｜例句：白いシャツを着る。"
"シャワー","シャワー","shower｜中文：淋浴｜例句：毎晩シャワーを浴びる。"
"十","じゅう","ten｜中文：十｜例句：十人のクラスメイト。"
"～中","～じゅう","during, while｜中文：整个、之中｜例句：一日中家にいた。"
"～週間","～しゅうかん","~ weeks｜中文：～周｜例句：二週間休む。"
"授業","じゅぎょう","a class (of school)｜中文：课程｜例句：午前に日本語の授業がある。"
"宿題","しゅくだい","homework｜中文：作业｜例句：毎晩宿題をする。"
"上手","じょうず","be good at, skillful｜中文：擅长｜例句：ピアノが上手です。"
"丈夫","じょうぶ","strong, solid, durable｜中文：结实、健康｜例句：鞄が丈夫で長く使える。"
"醤油","しょうゆ","soy sauce｜中文：酱油｜例句：寿司に醤油をつける。"
"食堂","しょくどう","cafeteria, dining hall｜中文：食堂｜例句：学校の食堂で昼ご飯を食べる。"
"知る","しる","to know, to understand｜中文：知道、了解｜例句：道を知っています。"
"白","しろ","white｜中文：白色｜例句：白い紙を買った。"
"白い","しろい","white｜中文：白色的｜例句：雪は白い。"
"～人","～じん","counter for people｜中文：～人（国籍）｜例句：中国人です。"
"新聞","しんぶん","newspaper｜中文：报纸｜例句：朝新聞を読む。"
"水曜日","すいようび","Wednesday｜中文：周三｜例句：水曜日に図書館へ行く。"
"吸う","すう","to breathe in, to suck｜中文：吸、抽｜例句：タバコを吸わないで。"
"スカート","スカート","skirt｜中文：裙子｜例句：赤いスカートを着ている。"
"好き","すき","liking, fondness, love｜中文：喜欢｜例句：猫が好きです。"
"～すぎ","～すぎ","past; to exceed, ~ too much｜中文：过于｜例句：食べすぎてお腹が痛い。"
"少ない","すくない","a little; a few｜中文：少的｜例句：ここに人が少ない。"
"すぐに","すぐに","immediately, soon｜中文：立刻、马上｜例句：すぐに行きます。"
"少し","すこし","little, few｜中文：一点｜例句：少し水をください。"
